"user_id","email","nickname","created_at","user_status","last_login_at"
"1","user1@game.com","원신 중수","2022-02-18 07:13:00","active","2022-03-14 10:18:00"
"2","user2@game.com","한강유역","2022-04-07 14:26:00","suspended","2022-05-25 20:36:00"
"3","user3@game.com","델몬트물병","2022-05-25 21:39:00","inactive","2022-08-06 06:54:00"
"4","user4@game.com","인도네시아 선교사","2022-07-12 04:52:00","active","2022-10-16 17:12:00"
"5","user5@game.com","따웨이거맘1호","2022-08-29 11:05:00","active","2022-12-28 02:30:00"
"6","user6@game.com","응애뉴비ㅇ","2022-10-16 18:18:00","active","2023-03-10 12:48:00"
"7","user7@game.com","리벤","2022-12-03 01:31:00","active","2023-05-20 23:06:00"
"4","user4@game.com","인도네시아 선교사","2023-01-20 08:44:00","active","2023-07-31 09:24:00"
"8","user8@game.com","깃깃","2023-03-09 15:57:00","active","2023-10-11 19:42:00"
"9","user9@game.com","응으응","2023-04-26 22:10:00","active","2023-12-23 05:00:00"
"10","user10@game.com","커쿠","2023-06-13 05:23:00","active","2024-03-03 15:18:00"
"11","user11@game.com","은각수","2023-07-31 12:36:00","active","2024-05-15 00:36:00"
"12","user12@game.com","리제로","2023-09-17 19:49:00","inactive","2024-07-26 10:54:00"
"13","user13@game.com","바레사랑해","2023-11-04 02:02:00","active","2024-10-05 20:12:00"
"14","user14@game.com","지베르츠","2023-12-22 09:15:00","active","2024-12-17 06:30:00"
"15","user15@game.com","흰구름연희","2024-02-08 16:28:00","active","2025-02-26 16:48:00"
"16","user16@game.com","아야카 남친","2023-09-22 23:41:00","active","2024-11-04 03:06:00"
"17","user17@game.com","궤도","2023-11-09 06:54:00","active","2025-01-14 13:24:00"
"18","user18@game.com","서하린","2023-12-27 13:07:00","active","2025-03-27 22:42:00"
"19","user19@game.com","종려 틀니 콜라피스","2024-02-13 20:20:00","active","2025-06-08 09:00:00"
"20","user20@game.com","soboroo","2024-04-01 03:33:00","active","2025-08-18 19:18:00"
"21","user21@game.com","나비아 협회장","2024-05-19 10:46:00","active","2025-10-30 05:36:00"
"22","user22@game.com","푸벅지","2024-07-06 17:59:00","active","2026-01-10 15:54:00"
